pubkey,amount
4EpBQ2ZvW1yhfeR6weJroCnsFJCVPoJrzcVmDL5xYaEN,2015
6RM5TkudFuGHSXkd4G2qUVWTkFpoSZ3fe8HXqUwsyBzp,2014
Hx1Juij1mc2NvYsWBj9G8hdnKEw27YrtHtmSuHn8xEkw,2008
DD9eeertZsaHXzxiBwaBV9BSgMhPHb2yuvBH5ivuxAFV,2002
3BjsJSKzfKotRHwTUc3zxjZQE1HSx2cZyHGgE6fmU8VP,2001
BankTJmwsibYaPZ7AxXu8GRxpYnz7gUHEiLH9WASbkwA,2000
BiVyVyDDVwikxWa2B3CwHCncECwA6DUK8Dma1eiDCa2r,2000
9WFtKmQ3YGMjbbdEvRY7mWKLk6d62hgFUMPyigvNRRno,1999
5WK2rx9jqxwrae4U14EfRsVwH16FHdWTaiyUSFHy1v8b,1997
6wiGm466WLx5tbGMRSLgz3e6FWKYBSxHXyunpQx45NnG,1994
BR4Vn2ZurpuKx5jTVKZi1vwhDnLKgL6fFvifJiqEnVwR,1990
AEQ4qTvKkV8BKgpYv2pRhwHHHNbKP34isp3bHZGSXUAq,1979
BMRiJy6NykFAFAJKgzAXny6NEHrjreUatGFAK4eqaxH7,1969
BKpr3VtYAuenaYwrtDTeh2ZRAMztqwZJ79AXwDskKpXV,1966
J6SpaLcySEygNaoHRDjgUbRr2Hw3YLMuDPRMyTWCR38T,1953
87ddGWytMS97JE48ZGJm4HoCueUcr9jBF7nkuRMsrZ69,1953
9pkUjqHzVyakhabz39XUoZ78zmE7ysitUtHGwTbU6QKy,1935
GR99PMJHoDBP3kQnSBz9QxhFAs9ajWzEJpVTTYKQjr65,1932
2LAy126YizDnHa7JXqwhMxVeoQy8ocAYAQHQpanr8aTL,1930
3CAHgW35AkZaMEcyaZA8yUAGmkYhBXPk72dx4bX5KWU9,1925
VVrKnUKW24Q8QT9kJdS3XRhGHXocAfGozNStDHNJ7Mr,1923
5J2Bv5ncdnwZyKwEiXCqGMRxQ9qoT5DYDooVpbrmEAMR,1917
A8qfe5YBr6U8UdQwsabFmsS7eup9hZBVU8EmTtWTrHk3,1910
F3XFAGTzpFj8JxXisLi7tVHdRe9iFsgyBdtkezisb9iG,1900
HWJCqtn94cgY5TFENrcuBSnor7sTt5FrwuFwLmxXqgBm,1898
7dWq5KwRmoJAwjXHnN98nBRq57S6UvwVyaganWMqtsYr,1896
2MEA77q2Lcznfa6WtQ7q3AeWJAhegkEPyMrRH1Gqfky1,1884
8myQzizPgxyUSyTnnHrtcj4MJgLkpnkhjskNUo8dqUgr,1844
FhwcU3YiVS6THyFaj6MjT7A7qHG8gFZq5kAbQHDZsKDz,1843
7oKw4oRgRfBzLXuJ3GjavHWMR44zp31j9XHqL6QuzK6B,1822
H7FSYqdzdRcwDH4Vqfry8ASqCCFG1dRQVyp51AZwkwn2,1822
DUr2U6Cj7aXW43HiCLkJdRnW7UbZF6jUjTz4j662GbwU,1814
ASNsejndZQmh3p5taTGEQajzD9Bed9Skx68ETQC4mucC,1811
7MWPskxWXpCXL6wHsAjvckbw32Xn9vPU7KvC6XsWWniv,1803
9LhiwnF6wCBUtRHgfX4Y7k8bunva1TiRsxsvS6uXAZvc,1798
8YsXNees2kCfkN6yH5kKgsTQB5KawkqabeAqBnfP1RV9,1787
6GCd3yEYZr3FWg9MF44rFuvGy3zj21xXApDUHU3HeJ4,1771
